L,environment_id,environment_seed,samples,replica_1_mean,replica_2_mean,mean_height,conditional_variance,replica_1_variance,replica_2_variance,replica_1_ess,replica_2_ess,start_gap,standardized_start_gap,minimum_pair_swap_acceptance,target_exchange_acceptance
6,55,11675740446219490670,2000,0.48,0.532,0.506,2.1036998499249617,2.202701350675339,2.1820670335167573,1044.4117897089034,779.3936464262789,-0.052000000000000046,0.7421960062683634,0.5025714285714286,0.8905714285714286
6,56,3867044959636925567,2000,-1.716,-1.668,-1.692,3.8087523761880924,3.9213046523261657,3.9077298649324685,1057.7207285226293,680.5351083818236,-0.04800000000000004,0.49378486413558054,0.582,0.8874285714285715
6,57,2691074237142929069,2000,0.948,0.956,0.952,2.809372686343172,2.894743371685844,2.911519759879943,1521.6736250614038,1311.4747620552128,-0.008000000000000007,0.12459945648447303,0.6042857142857143,0.8928571428571429
6,58,91444441747793587,2000,3.964,3.95,3.957,0.1719879939969987,0.1427753876938469,0.19759879939969974,1208.788907765902,1040.8637851868,0.01399999999999979,0.797781565903467,0.5771428571428572,0.9014285714285715
6,59,7293201322963477754,2000,0.138,0.172,0.155,0.7077758879439722,0.6612866433216608,0.834833416708354,695.264881523451,209.96098202605395,-0.033999999999999975,0.4843685694627611,0.6148571428571429,0.8851428571428571
6,60,5800317510010746182,2000,-0.006,-0.008,-0.007,0.02801200600300154,0.02397598799399699,0.03195197598799401,2000.0,2000.0,0.002,0.3782078065053788,0.64,0.886
6,61,17283130341905510631,2000,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,2000.0,0.0,0.0,0.5462857142857143,0.9034285714285715
6,62,10115486277562638029,2000,0.862,0.778,0.8200000000000001,2.5257348674337177,2.738325162581289,2.5239779889944995,207.9879094722528,235.88357847812213,0.08399999999999996,0.5437389740768515,0.6225714285714286,0.874
6,63,10749967462444713471,2000,0.164,0.132,0.14800000000000002,1.3841800900450232,1.4138109054527257,1.4392956478239116,740.0623735853927,1145.3290257330832,0.032,0.5686196179174648,0.5437142857142857,0.9037142857142857
6,64,16741030848598655292,2000,-0.016,0.016,0.0,0.15956778389194604,0.12780790395197608,0.19183991995998007,1604.5041873057628,1095.0340425469724,-0.032,2.0045210366313295,0.6488571428571429,0.8894285714285715
6,65,17977737738638084211,2000,0.346,0.364,0.355,1.2764762381190613,1.2649164582291126,1.3241660830415218,1858.2406177407997,1876.8054927718217,-0.018000000000000016,0.4834503503205037,0.5562857142857143,0.882
6,66,303200435773598137,2000,-0.252,-0.314,-0.28300000000000003,1.0425992996498243,0.9449684842421204,1.1579829914957482,1227.3426519005088,1212.4260625356694,0.062,1.4927732362127393,0.5825714285714285,0.8937142857142857
6,67,14244378663724541256,2000,-3.604,-3.65,-3.627,1.4036438219109564,1.427897948974488,1.2781390695347679,675.928880481681,884.9802741187592,0.04599999999999982,0.7713134240564438,0.5774285714285714,0.888
6,68,5561596009687005176,2000,0.018,0.026,0.022,0.09601600800400205,0.07171185592796414,0.11938369184592297,1061.6490207533554,1037.7293822946488,-0.008,0.5920393140189038,0.5822857142857143,0.9014285714285715
6,69,11547464217266317359,2000,-0.23,-0.124,-0.177,0.84680540270135,0.9955977988994497,0.6889684842421215,512.9973770167346,865.2201453943375,-0.10600000000000001,2.026120948028043,0.6065714285714285,0.9
6,70,17235984410332450547,2000,-0.108,-0.078,-0.093,0.3477238619309658,0.4205462731365682,0.30606903451725864,1256.6167477485376,865.173537635826,-0.03,1.1433807294798835,0.5537142857142857,0.89
6,71,2952307777313231251,2000,0.344,0.33,0.33699999999999997,1.2445242621310653,1.2903091545772882,1.211705852926463,1607.745133261898,1822.3113290481683,0.013999999999999957,0.3654609763482316,0.5417142857142857,0.8985714285714286
6,72,16780694622219135484,2000,-3.372,-3.452,-3.412,2.1018509254627333,2.118675337668836,1.9086503251625804,687.2588922800772,586.4667308841402,0.08000000000000007,1.004936225358921,0.608,0.8902857142857142
6,73,2741934117876539412,2000,-0.008,0.006,-0.001,0.02791595797898955,0.03195197598799401,0.023975987993996986,1001.004013043154,2000.0,-0.014,2.112791270705711,0.5371428571428571,0.8868571428571429
