model,fraction_num,fraction_den,component,order,separation,fit_role,observed,log_fit,log_plus_log2_fit
uniform,1,4,conditional,3072,1536,training,1.020044593,0.9708147176,0.974306697
uniform,1,4,conditional,4096,2048,training,0.9536689038,0.9925548234,0.9683169234
uniform,1,4,conditional,5120,2560,heldout,1.068037975,1.00941776,0.953796877
uniform,1,4,conditional,6144,3072,heldout,0.7407051282,1.023195782,0.9355294737
uniform,1,4,disorder,1024,512,training,0.008724019117,0.01693933163,0.007562378326
uniform,1,4,disorder,1536,768,training,0.02445551907,0.01155446617,0.01630244841
uniform,1,4,disorder,2048,1024,training,-0.0178958959,0.007733843318,0.01531767741
uniform,1,4,disorder,2560,1280,training,0.03404761905,0.004770338005,0.01044609004
uniform,1,4,disorder,3072,1536,training,0.0118729097,0.002348977857,0.003801693803
uniform,1,4,disorder,4096,2048,training,-0.01932885906,-0.001471644991,-0.01155497601
uniform,1,4,disorder,5120,2560,heldout,0.08227848101,-0.004435150305,-0.02757427416
uniform,1,4,disorder,6144,3072,heldout,0.1282051282,-0.006856510452,-0.04332701331
