model,fraction_num,fraction_den,order,separation,n,mean_1,mean_2,marginal,marginal_low,marginal_high,conditional,conditional_low,conditional_high,disorder,disorder_low,disorder_high
uniform,1,16,2560,320,400,0.0525,-0.0125,0.8381390977,0.7578125,0.9172871241,0.8550250627,0.7525776159,0.9634053885,-0.01688596491,-0.09560792607,0.06328023183
uniform,1,16,3072,384,300,-0.07,-0.05,0.9126755853,0.8071269509,1.022717252,0.8459531773,0.7205964326,0.9734914994,0.06672240803,-0.04381438127,0.1842820513
uniform,1,16,4096,512,150,-0.08,-0.04,0.9288590604,0.7792706935,1.07841443,0.8448322148,0.6640699105,1.036711409,0.08402684564,-0.06774720358,0.2338322148
uniform,1,16,5120,640,80,-0.025,-0.05,0.9477848101,0.7390783228,1.146770174,0.860443038,0.6075949367,1.119556962,0.08734177215,-0.1376582278,0.3227927215
uniform,1,16,6144,768,40,-0.025,0.125,1.325,0.8560897436,1.791666667,1.296153846,0.7371794872,1.86025641,0.02884615385,-0.3359134615,0.3846153846
uniform,1,8,32,8,6000,-0.05466666667,-0.05833333333,0.4888858699,0.4771620274,0.5005735484,0.4870744569,0.4699114005,0.5043918379,0.001811413013,-0.01064717245,0.01410199269
uniform,1,8,64,16,6000,-0.05083333333,-0.048,0.5608994694,0.5476177203,0.5742362651,0.5535049036,0.5347207646,0.5726631039,0.007394565761,-0.006530890565,0.0209902067
uniform,1,8,128,32,6000,-0.0335,-0.04783333333,0.6310667056,0.6152758172,0.6462957392,0.6275018614,0.6052592818,0.6497643583,0.003564844141,-0.01198702562,0.01941888995
uniform,1,8,256,64,6000,-0.054,-0.05783333333,0.6917349419,0.6742278536,0.7094171098,0.6908577957,0.665296373,0.7163906512,0.000877146191,-0.01652973621,0.01831659235
uniform,1,8,512,128,5000,-0.0602,-0.055,0.7302215243,0.7100740043,0.7503063773,0.7275319864,0.6994171354,0.7572237067,0.002689537908,-0.01785875475,0.0224790148
uniform,1,8,768,192,4000,-0.02575,-0.04125,0.7880146912,0.7637836647,0.8117084107,0.8015802701,0.7668403007,0.8362823307,-0.01356557889,-0.03791002751,0.01026074331
uniform,1,8,1024,256,3000,-0.04033333333,-0.065,0.825015783,0.7953749792,0.8542650272,0.7869580971,0.7476708972,0.8279908872,0.0380576859,0.007047660331,0.0675027009
uniform,1,8,1536,384,1600,-0.023125,-0.001875,0.8909126798,0.8482026266,0.9334038901,0.8771974672,0.817642081,0.939551414,0.01371521263,-0.03007510553,0.05719657794
uniform,1,8,2048,512,1000,-0.05,-0.055,0.8756131131,0.8222581957,0.9290113488,0.8993868869,0.8207079079,0.9819643644,-0.02377377377,-0.0802963964,0.03150032533
uniform,1,8,2560,640,400,-0.055,-0.025,0.8778696742,0.7913436717,0.9615134712,0.9393984962,0.8062077068,1.080254386,-0.06152882206,-0.1526331454,0.02518843985
uniform,1,8,3072,768,300,0.02333333333,-0.04666666667,0.920039019,0.8157717391,1.023541249,0.8721237458,0.7356633222,1.012954292,0.04791527313,-0.0509712932,0.1455075251
uniform,1,8,4096,1024,150,-0.18,-0.12,0.9529530201,0.8120357942,1.089485459,0.880738255,0.6890380313,1.080749441,0.0722147651,-0.07642281879,0.2187919463
uniform,1,8,5120,1280,80,-0.2125,0.1,1.003718354,0.7833821203,1.230063291,1.058148734,0.7619462025,1.374683544,-0.05443037975,-0.2492088608,0.1469976266
uniform,1,8,6144,1536,40,-0.25,0.175,0.9650641026,0.7201923077,1.177884615,0.8945512821,0.5948717949,1.171474359,0.07051282051,-0.1634615385,0.3032211538
