model,fraction_num,fraction_den,component,order,separation,fit_role,observed,log_fit,log_plus_log2_fit
uniform,1,16,marginal,1024,128,training,0.7661840058,0.7666308783,0.758006609
uniform,1,16,marginal,1536,192,training,0.8032422608,0.809932293,0.8043938478
uniform,1,16,marginal,2048,256,training,0.8347882883,0.8406551358,0.838807471
uniform,1,16,marginal,2560,320,training,0.8381390977,0.864485624,0.8663589769
uniform,1,16,marginal,3072,384,training,0.9126755853,0.8839565506,0.8894267873
uniform,1,16,marginal,4096,512,training,0.9288590604,0.9146793933,0.9268431172
uniform,1,16,marginal,5120,640,heldout,0.9477848101,0.9385098815,0.9567237035
uniform,1,16,marginal,6144,768,heldout,1.325,0.9579808081,0.9816945111
uniform,1,16,conditional,128,16,training,0.5668597544,0.5675447059,0.5537940253
uniform,1,16,conditional,256,32,training,0.620528088,0.6300249385,0.6304750225
uniform,1,16,conditional,512,64,training,0.6792013603,0.6925051712,0.7002735706
uniform,1,16,conditional,768,96,training,0.7245366029,0.7290537643,0.7379125945
uniform,1,16,conditional,1024,128,training,0.773317717,0.7549854038,0.7631896697
uniform,1,16,conditional,1536,192,training,0.8196873046,0.7915339969,0.7968027189
uniform,1,16,conditional,2048,256,training,0.8247122122,0.8174656364,0.8192233196
uniform,1,16,conditional,2560,320,training,0.8550250627,0.8375797786,0.8357976583
uniform,1,16,conditional,3072,384,training,0.8459531773,0.8540142295,0.8488103942
uniform,1,16,conditional,4096,512,training,0.8448322148,0.879945869,0.8683745204
uniform,1,16,conditional,5120,640,heldout,0.860443038,0.9000600113,0.8827332054
uniform,1,16,conditional,6144,768,heldout,1.296153846,0.9164944621,0.8939356204
uniform,1,16,disorder,128,16,training,-0.008242457076,-0.02298660017,0.00521870373
uniform,1,16,disorder,256,32,training,-0.008183141635,-0.01144257528,-0.01236578449
uniform,1,16,disorder,512,64,training,0.02073182637,0.0001014496093,-0.0158330393
uniform,1,16,disorder,768,96,training,-0.007325331333,0.006854271276,-0.01131690184
uniform,1,16,disorder,1024,128,training,-0.007133711237,0.0116454745,-0.005183060687
uniform,1,16,disorder,1536,192,training,-0.01644504378,0.01839829616,0.007591128936
uniform,1,16,disorder,2048,256,training,0.01007607608,0.02318949938,0.01958415134
uniform,1,16,disorder,2560,320,training,-0.01688596491,0.02690584532,0.03056131854
