L,environment_id,environment_seed,exact_mean,mcmc_mean,mcmc_minus_exact_mean,estimated_mcmc_mean_standard_error,standardized_mean_error,zero_standard_error_inconsistent,exact_conditional_variance,mcmc_conditional_variance,mcmc_minus_exact_conditional_variance,extremal_start_gap,standardized_extremal_start_gap,minimum_chain_ess,minimum_pair_swap_acceptance,target_exchange_acceptance
2,23,7860441041686724660,-0.0006842310923043105,-0.001,-0.00031576890769568957,0.001000000000000001,-0.3157689076956892,false,0.002739714290639572,0.004000000000000008,0.0012602857093604357,-0.002,0.9999999999999989,2000.0,0.8802857142857143,0.9682857142857143
2,24,5927593106840548960,8.37359959149353e-10,0.0,-8.37359959149353e-10,0.0,NaN,true,1.8481253492852456e-8,0.0,-1.8481253492852456e-8,0.0,0.0,2000.0,0.7334285714285714,0.9908571428571429
2,25,12670224741265326835,-0.10601588695132319,-0.112,-0.005984113048676812,0.010442059006639881,-0.573077880987997,false,0.41282560578718364,0.4319279639819911,0.01910235819480749,-0.023999999999999994,1.1491986391160454,1994.8838557421193,0.6885714285714286,0.9828571428571429
2,26,2917635371682197844,-0.000773547314889815,0.0,0.000773547314889815,0.0,NaN,true,0.004559180138021354,0.0,-0.004559180138021354,0.0,0.0,2000.0,0.9165714285714286,0.9731428571428572
2,27,8401036808371221813,0.4149380205261326,0.377,-0.0379380205261326,0.018747299288572418,-2.023652577481283,false,1.5537635760069701,1.347215607803902,-0.2065479682030682,0.05400000000000005,1.440207444517521,2000.0,0.9482857142857143,0.9808571428571429
2,28,8470465329713055577,-2.7467887887981637,-2.789,-0.04221121120183646,0.030057063737834937,-1.4043690884117281,false,3.4426113714267057,3.4169064532266153,-0.025704918200090354,-0.09799999999999986,1.6302324281370235,1838.1164360776793,0.9022857142857142,0.9674285714285714
2,29,15715092345882880589,0.8323398547090426,0.865,0.0326601452909574,0.03785052388117017,0.8628716842464927,false,2.6730366149572893,2.7466353176588267,0.07359870270153746,-0.07400000000000007,0.9775294026618941,963.2584784932139,0.8682857142857143,0.9814285714285714
2,30,14123577998429086371,1.8584777144808426,1.881,0.02252228551915736,0.04305096837399807,0.523153981659571,false,3.980264224661226,3.8815227613806877,-0.09874146328053834,0.09399999999999986,1.0917292171385162,1014.5506538470555,0.8871428571428571,0.9751428571428571
2,31,16165480413011113708,-0.0034172643756407357,-0.008,-0.004582735624359265,0.00399348894789861,-1.147551848558569,false,0.013703652711891251,0.03198399199599796,0.01828033928410671,-0.008,1.0016304169577872,1000.5012521287962,0.8708571428571429,0.9737142857142858
2,32,10793869253569989436,0.0011393228826658815,0.001,-0.00013932288266588146,0.001000000000000001,-0.1393228826658813,false,0.004558276099623547,0.004000000000000008,-0.0005582760996235394,0.002,0.9999999999999989,2000.0,0.8454285714285714,0.9805714285714285
