distribution,distribution_params,L,log_L,log_log_L,observations,environments,walks_per_environment_min,walks_per_environment_max,mean_winding,annealed_variance,annealed_variance_se,quenched_variance,quenched_variance_se,environment_mean_variance,mean_exit_x_over_L,mean_exit_y_over_L,mean_raw_walk_length,mean_loop_erased_path_length,mean_runtime
beta,"{""a"":0.5}",2048,7.6246189861593985,2.0313823522167063,500,100,5,5,-0.064,5.514933867735469,0.3560028040939939,4.995,0.3662652761664044,1.5231353535353533,0.02692578125,-0.0175859375,5.99365454e6,17922.924,1.62049782308
beta,"{""a"":0.5}",4096,8.317766166719343,2.118393729206336,500,100,5,5,-0.09,5.993887775551103,0.3512037585995114,5.487,0.35170193705075403,1.6083838383838385,-0.01472607421875,0.02718798828125,2.3307526012e7,43068.716,6.039728718158002
exponential,{},32,3.4657359027997265,1.242924991852436,2000,200,10,10,0.073,2.487914957478738,0.08785713674289876,2.2214444444444443,0.08510411581086066,0.4898201005025127,0.033046875,0.047296875,1455.203,97.698,0.006180679524608422
exponential,{},64,4.1588830833596715,1.4252465486463906,2000,200,10,10,0.009,3.176507253626815,0.10694382817914112,2.780111111111111,0.09251470876661906,0.6762,0.0262421875,0.004796875,5868.5335,235.7025,0.024785467921290546
exponential,{},128,4.852030263919617,1.5793972284736488,2000,200,10,10,-0.0415,3.7386470735367676,0.142649399023318,3.2886111111111114,0.12485443941249147,0.7809324120603015,0.03564453125,-0.01756640625,25201.021,563.852,0.09014328381046653
exponential,{},256,5.545177444479562,1.7129286210981716,2000,200,10,10,0.05,3.965482741370685,0.1395818550998898,3.4623333333333335,0.1170806721953913,0.8516582914572866,-0.023771484375,0.029765625,98853.7495,1338.4005,0.40697719081223477
exponential,{},512,6.238324625039508,1.830711656754555,2000,200,10,10,-0.0235,4.775335417708853,0.15155543934731364,4.32161111111111,0.13649588266633753,0.8879374371859298,0.0208916015625,0.0458955078125,387886.383,3190.547,2.443199526945944
exponential,{},1024,6.931471805599453,1.9360721724123813,2000,200,10,10,0.0025,5.262124812406203,0.19387068465910845,4.8101666666666665,0.1868199793405712,0.9350188442211058,0.01211083984375,-0.024681640625,1.5807822755e6,7509.6845,13.809857133157028
exponential,{},2048,7.6246189861593985,2.0313823522167063,500,100,5,5,0.008,5.074084168336672,0.3072501693862159,4.689,0.296354602638546,1.3259959595959594,-0.0325,-0.0581337890625,6.129080138e6,18037.102,1.754488762924
exponential,{},4096,8.317766166719343,2.118393729206336,500,100,5,5,-0.074,6.056637274549098,0.360191000240959,5.721,0.3887854566636094,1.482549494949495,-0.026638671875,-0.0422041015625,2.7000675444e7,42989.22,10.398932588822001
