distribution,distribution_params,variance_kind,model,intercept,coefficient,n_sizes,sse,r2,aic,bic
pareto,"{""alpha"":3.0}",annealed,a_plus_b_log_L_squared,1.8876112043327717,0.07229962813165744,8,0.4434190558300024,0.9710035851663854,-19.141452382325483,-18.98256929896581
triangular,"{""a"":0.8}",annealed,a_plus_b_log_L,0.38674333564339314,0.6877514407993761,8,0.5230427793933362,0.9480477691127568,-17.820268510232058,-17.661385426872386
triangular,"{""a"":0.8}",annealed,a_plus_b_log_L_squared,2.3229402515578954,0.05682441727282036,8,0.8952421463186203,0.9110783505328538,-13.520820675475633,-13.36193759211596
uniform,"{""a"":0.7}",annealed,a_plus_b_log_L,-0.13207307696676107,0.7733384170359803,8,0.06298001796976918,0.9948083807648437,-34.755034557312996,-34.59615147395333
uniform,"{""a"":0.7}",annealed,a_plus_b_log_L_squared,2.0309839216692684,0.06427429679973008,8,0.39581432952863393,0.9673719164748774,-20.050012673485256,-19.891129590125583
weibull,"{""shape"":0.7}",annealed,a_plus_b_log_L,-0.5359805646719602,0.8812839558521741,8,0.16082902376531386,0.9898422279327816,-27.2548398732129,-27.09595678985323
weibull,"{""shape"":0.7}",annealed,a_plus_b_log_L_squared,1.8978188710297008,0.07408347466692386,8,0.24255008524071253,0.9846808217629006,-23.967908756281417,-23.809025672921745
baseline,{},quenched,a_plus_b_log_L,0.23292566137565984,0.6908730685305083,8,0.1974188698295121,0.9799146151699808,-25.614952851117607,-25.456069767757935
baseline,{},quenched,a_plus_b_log_L_squared,2.1756192453545693,0.057143878818782974,8,0.5530357206547853,0.9437341765572307,-17.37419381530648,-17.215310731946808
bernoulli,"{""a"":0.8}",quenched,a_plus_b_log_L,-0.39421031746031776,0.7572231096259526,8,0.2245892604717827,0.9809589072619799,-24.58338876595231,-24.42450568259264
bernoulli,"{""a"":0.8}",quenched,a_plus_b_log_L_squared,1.6954904879282018,0.06369443583825671,8,0.2704867040205988,0.9770676371397344,-23.095791015415553,-22.93690793205588
beta,"{""a"":0.5}",quenched,a_plus_b_log_L,0.112837962962963,0.650087736225758,8,0.09254296784979464,0.9892647589026138,-31.676190133626207,-31.517307050266535
beta,"{""a"":0.5}",quenched,a_plus_b_log_L_squared,1.9199734072810015,0.05433097217914236,8,0.23527797730744116,0.9727071016849137,-24.21143298729904,-24.05254990393937
