distribution,distribution_params,variance_kind,L,variance,log_variance,log_log_L,log_variance_over_log_log_L
uniform,"{""a"":0.7}",annealed,128,3.6505899579915977,1.294888786859768,1.5793972284736488,0.8198626434916353
uniform,"{""a"":0.7}",quenched,128,3.5880000000000005,1.2775949441965497,1.5793972284736488,0.8089129961505853
uniform,"{""a"":0.7}",annealed,256,4.238247289457892,1.4441498086529596,1.7129286210981716,0.8430881420657822
uniform,"{""a"":0.7}",quenched,256,4.1779777777777785,1.4298273442542113,1.7129286210981716,0.8347267519749528
uniform,"{""a"":0.7}",annealed,512,4.7549949989998,1.5591956442617427,1.830711656754555,0.851688270246692
uniform,"{""a"":0.7}",quenched,512,4.658711111111111,1.5387388242822295,1.830711656754555,0.8405140255730231
uniform,"{""a"":0.7}",annealed,1024,5.380823004600919,1.682841337307121,1.9360721724123813,0.8692038247780143
uniform,"{""a"":0.7}",quenched,1024,5.242111111111111,1.6567243009968946,1.9360721724123813,0.8557141229567831
uniform,"{""a"":0.7}",annealed,2048,5.679274549098195,1.736823504346946,2.0313823522167063,0.8549958615381645
uniform,"{""a"":0.7}",quenched,2048,5.569,1.7172155046075315,2.0313823522167063,0.8453433213760342
uniform,"{""a"":0.7}",annealed,4096,6.192849699398794,1.8233953522279907,2.118393729206336,0.8607443116399011
uniform,"{""a"":0.7}",quenched,4096,5.9270000000000005,1.7795181828057012,2.118393729206336,0.8400318402908057
weibull,"{""shape"":0.7}",annealed,16,1.9795880776155226,0.6828887814544646,1.0197814405382262,0.6696422922680821
weibull,"{""shape"":0.7}",quenched,16,1.6800888888888892,0.5188467020683903,1.0197814405382262,0.5087822561220082
weibull,"{""shape"":0.7}",annealed,32,2.68928601720344,0.989275737269367,1.242924991852436,0.7959255335231178
weibull,"{""shape"":0.7}",quenched,32,2.2056888888888895,0.7910398813702509,1.242924991852436,0.6364341263999346
weibull,"{""shape"":0.7}",annealed,64,3.0366408881776352,1.1107519334934006,1.4252465486463906,0.7793402022606706
weibull,"{""shape"":0.7}",quenched,64,2.507088888888889,0.9191222748255747,1.4252465486463906,0.6448865115291801
weibull,"{""shape"":0.7}",annealed,128,3.6947725145029002,1.306918986741154,1.5793972284736488,0.8274795999257124
weibull,"{""shape"":0.7}",quenched,128,3.160911111111111,1.1508603123417653,1.5793972284736488,0.7286705912824556
weibull,"{""shape"":0.7}",annealed,256,4.194213842768554,1.4337059189644814,1.7129286210981716,0.8369910463900835
weibull,"{""shape"":0.7}",quenched,256,3.5355777777777777,1.2628767309087912,1.7129286210981716,0.7372617372107142
weibull,"{""shape"":0.7}",annealed,512,5.053919423884774,1.6201640658006786,1.830711656754555,0.8849913965549712
weibull,"{""shape"":0.7}",quenched,512,4.053911111111112,1.39968212157115,1.830711656754555,0.7645562950380047
weibull,"{""shape"":0.7}",annealed,1024,5.417283096619324,1.6895944160854273,1.9360721724123813,0.8726918552732266
weibull,"{""shape"":0.7}",quenched,1024,4.603133333333333,1.526737231031555,1.9360721724123813,0.7885745442687772
weibull,"{""shape"":0.7}",annealed,2048,6.429114228456913,1.860836772688269,2.0313823522167063,0.9160445696782131
weibull,"{""shape"":0.7}",quenched,2048,4.802,1.5690324977990613,2.0313823522167063,0.7723964403288653
weibull,"{""shape"":0.7}",annealed,4096,6.735370741482966,1.9073728553380866,2.118393729206336,0.9003863772069846
weibull,"{""shape"":0.7}",quenched,4096,5.893,1.7737652058557762,2.118393729206336,0.8373161142807592
