distribution,distribution_params,variance_kind,L,variance,log_variance,log_log_L,log_variance_over_log_log_L
gamma,"{""shape"":2.0}",quenched,4096,6.442,1.8628390509090071,2.118393729206336,0.8793639375088816
inverse_gamma,"{""alpha"":2.2}",annealed,16,1.9099659931986395,0.6470854372919924,1.0197814405382262,0.6345334515506282
inverse_gamma,"{""alpha"":2.2}",quenched,16,1.7687555555555554,0.5702762233546153,1.0197814405382262,0.5592141616674565
inverse_gamma,"{""alpha"":2.2}",annealed,32,2.511411705852925,0.9208450276484786,1.242924991852436,0.7408693474543991
inverse_gamma,"{""alpha"":2.2}",quenched,32,2.3441111111111113,0.8519062729424669,1.242924991852436,0.6854044117922184
inverse_gamma,"{""alpha"":2.2}",annealed,64,3.1446563281640847,1.1457046085578855,1.4252465486463906,0.8038641522380837
inverse_gamma,"{""alpha"":2.2}",quenched,64,2.9555555555555553,1.0836866384514339,1.4252465486463906,0.7603502983260343
inverse_gamma,"{""alpha"":2.2}",annealed,128,3.6479749874937473,1.2941722156901545,1.5793972284736488,0.8194089443482564
inverse_gamma,"{""alpha"":2.2}",quenched,128,3.434222222222222,1.233790472735118,1.5793972284736488,0.7811780662218017
inverse_gamma,"{""alpha"":2.2}",annealed,256,4.385822661330667,1.47837721628512,1.7129286210981716,0.8630699482021155
inverse_gamma,"{""alpha"":2.2}",quenched,256,4.145166666666667,1.4219429968661486,1.7129286210981716,0.8301239055451886
inverse_gamma,"{""alpha"":2.2}",annealed,512,4.835585542771385,1.5760022265925717,1.830711656754555,0.8608686249294296
inverse_gamma,"{""alpha"":2.2}",quenched,512,4.405277777777779,1.4828033170543997,1.830711656754555,0.8099600565624193
inverse_gamma,"{""alpha"":2.2}",annealed,1024,5.000476238119057,1.6095331555221448,1.9360721724123813,0.831339439953128
inverse_gamma,"{""alpha"":2.2}",quenched,1024,4.628,1.5321248093314301,1.9360721724123813,0.7913572805616924
inverse_gamma,"{""alpha"":2.2}",annealed,2048,5.9521603206412825,1.7837542327596476,2.0313823522167063,0.8780987148052953
inverse_gamma,"{""alpha"":2.2}",quenched,2048,5.9449999999999985,1.782550530142745,2.0313823522167063,0.8775061613573494
inverse_gamma,"{""alpha"":2.2}",annealed,4096,6.797498997995989,1.9165547501167528,2.118393729206336,0.9047207436904551
inverse_gamma,"{""alpha"":2.2}",quenched,4096,6.505,1.8725711119644686,2.118393729206336,0.8839580131621869
lognormal,"{""sigma"":0.5}",annealed,16,1.9447729545909178,0.6651452373984593,1.0197814405382262,0.6522429326105456
lognormal,"{""sigma"":0.5}",quenched,16,1.8898222222222223,0.6364827623311294,1.0197814405382262,0.6241364443691021
lognormal,"{""sigma"":0.5}",annealed,32,2.5138266633316655,0.9218061592355713,1.242924991852436,0.7416426295055228
lognormal,"{""sigma"":0.5}",quenched,32,2.428944444444445,0.8874567779776755,1.242924991852436,0.714006704986295
lognormal,"{""sigma"":0.5}",annealed,64,3.1900927963981984,1.1600500061536532,1.4252465486463906,0.8139293564719702
lognormal,"{""sigma"":0.5}",quenched,64,3.145166666666667,1.1458668829189036,1.4252465486463906,0.8039780092834996
lognormal,"{""sigma"":0.5}",annealed,128,3.6941068034016973,1.3067387940287378,1.5793972284736488,0.827365510379924
lognormal,"{""sigma"":0.5}",quenched,128,3.6278333333333332,1.288635592204645,1.5793972284736488,0.8159034149059513
lognormal,"{""sigma"":0.5}",annealed,256,4.438749124562279,1.4903726080489579,1.7129286210981716,0.8700728037887934
lognormal,"{""sigma"":0.5}",quenched,256,4.3053888888888885,1.4598674680364783,1.7129286210981716,0.8522640406933863
