distribution,distribution_params,L,log_L,log_log_L,pairs,observations,walks,environments,walks_per_environment_min,walks_per_environment_max,mean_winding_1,mean_winding_2,mean_winding_difference,variance_winding_1,variance_winding_2,covariance_winding_1_winding_2,correlation_winding_1_winding_2,pooled_single_winding_variance,double_dimer_variance,double_dimer_variance_se,variance_ratio_to_twice_pooled,variance_identity_rhs,variance_identity_residual,mean_winding,annealed_variance,annealed_variance_se,mean_exit_x_over_L,mean_exit_y_over_L,mean_raw_walk_length,mean_loop_erased_path_length,mean_runtime
gamma,"{""shape"":2.0}",512,6.238324625039508,1.830711656754555,2000,2000,4000,2000,2,2,-0.0055,0.0105,-0.016,4.519729614807402,4.958869184592296,0.43077313656828414,0.0909915491944855,4.738178294573645,8.61705252626313,0.27318288761502324,0.9093212613096188,8.61705252626313,0.0,-0.016,8.61705252626313,0.27318288761502324,0.0154931640625,-0.009255859375,337427.005,3167.6585,0.09263889200071572
gamma,"{""shape"":2.0}",1024,6.931471805599453,1.9360721724123813,2000,2000,4000,2000,2,2,-0.005,0.0905,-0.0955,5.5497498749374685,5.384001750875435,0.5952501250625313,0.10889556537474668,5.46778938484621,9.743251375687842,0.3084512372193961,0.8909680576478429,9.74325137568784,1.7763568394002505e-15,-0.0955,9.743251375687842,0.3084512372193961,-0.008962646484375,-0.00157177734375,1.37023307925e6,7494.16675,0.4094360000001907
gamma,"{""shape"":2.0}",2048,7.6246189861593985,2.0313823522167063,500,500,1000,500,2,2,-0.066,0.03,-0.096,5.917478957915832,5.892885771543087,0.30458917835671345,0.05158009015069579,5.901577577577574,11.201186372745495,0.7127856411171342,0.9489993332717704,11.201186372745491,3.552713678800501e-15,-0.096,11.201186372745495,0.7127856411171342,0.02818896484375,-0.01666748046875,5.391161756e6,17735.696,1.4631929169978248
gamma,"{""shape"":2.0}",4096,8.317766166719343,2.118393729206336,500,500,1000,500,2,2,0.03,0.004,0.026,6.86683366733467,6.617218436873747,0.6652104208416835,0.09868315925402286,6.735446446446442,12.15363126252505,0.7595492387361367,0.9022142302784688,12.15363126252505,0.0,0.026,12.15363126252505,0.7595492387361367,-0.006118896484375,0.015251708984375,2.1577135998e7,41971.498,3.7014346420000073
inverse_gamma,"{""alpha"":2.2}",16,2.772588722239781,1.0197814405382262,5000,5000,10000,5000,2,2,-0.018,0.0202,-0.0382,2.0048769753950806,1.9889897579515907,0.13839127825565123,0.06930244920063976,1.9970984998499843,3.717084176835366,0.07649036705782927,0.93062114290171,3.7170841768353684,-2.220446049250313e-15,-0.0382,3.717084176835366,0.07649036705782927,-0.00478125,0.0008125,329.6225,41.0987,0.0002662355995038524
inverse_gamma,"{""alpha"":2.2}",32,3.4657359027997265,1.242924991852436,2000,2000,4000,2000,2,2,0.015,0.0295,-0.0145,2.5500500250125064,2.5949272136068022,0.25418459229614787,0.0988125896575332,2.571897911977993,4.636608054027019,0.14383603702720632,0.9013981527869239,4.636608054027013,6.217248937900877e-15,-0.0145,4.636608054027019,0.14383603702720632,-0.005359375,-0.0034609375,1354.75975,99.12825,0.0023768209992558694
inverse_gamma,"{""alpha"":2.2}",64,4.1588830833596715,1.4252465486463906,2000,2000,4000,2000,2,2,-0.0135,0.058,-0.0715,3.0458406703351684,2.8420570285142572,0.2263961980990497,0.07694832039350046,2.944491060265066,5.435105302651331,0.18132134839100178,0.9229277982868213,5.435105302651325,5.329070518200751e-15,-0.0715,5.435105302651331,0.18132134839100178,0.0005078125,0.0056640625,5295.01,235.4515,0.005257868999557104
inverse_gamma,"{""alpha"":2.2}",128,4.852030263919617,1.5793972284736488,2000,2000,4000,2000,2,2,-0.005,-0.032,0.027,3.693821910955477,3.7848684342171057,0.30549274637318646,0.08170291140057784,3.738592398099524,6.867704852426211,0.22840549718191341,0.9184880459176747,6.867704852426209,1.7763568394002505e-15,0.027,6.867704852426211,0.22840549718191341,-0.00676171875,0.01927734375,21896.1515,560.2275,0.014355799499491695
inverse_gamma,"{""alpha"":2.2}",256,5.545177444479562,1.7129286210981716,2000,2000,4000,2000,2,2,0.0395,-0.041,0.0805,4.079979739869938,4.159398699349677,0.27375637818909443,0.06645382254505702,4.1202795073768455,7.691865682841422,0.25970262667286736,0.9334155206060775,7.691865682841425,-3.552713678800501e-15,0.0805,7.691865682841422,0.25970262667286736,0.0065009765625,-0.0106103515625,87530.273,1326.14,0.04885448500004713
inverse_gamma,"{""alpha"":2.2}",512,6.238324625039508,1.830711656754555,2000,2000,4000,2000,2,2,-0.021,-0.0485,0.0275,4.707912956478242,4.748522011005503,0.4527078539269634,0.09574687073843836,4.7272242435608876,8.551019259629813,0.26792630918488475,0.9044440055152287,8.551019259629818,-5.329070518200751e-15,0.0275,8.551019259629813,0.26792630918488475,-0.0026513671875,-0.00735107421875,346124.08825,3193.68275,0.1835673987499904
