model,fraction_num,fraction_den,order,separation,n,mean_1,mean_2,marginal,marginal_low,marginal_high,conditional,conditional_low,conditional_high,disorder,disorder_low,disorder_high
uniform,1,16,64,8,6000,-0.031,-0.0185,0.4853459327,0.4734591595,0.4973171032,0.4942542507,0.4768251184,0.5114828843,-0.008908318053,-0.02099513877,0.0035823672
uniform,1,16,128,16,6000,-0.01883333333,-0.0305,0.5586172973,0.5448661315,0.5723218852,0.5668597544,0.5473744926,0.5866833865,-0.008242457076,-0.0223850489,0.005817536256
uniform,1,16,256,32,6000,-0.01066666667,-0.03266666667,0.6123449464,0.5972987192,0.6277748326,0.620528088,0.5983940091,0.6425223204,-0.008183141635,-0.02351398566,0.007238229983
uniform,1,16,512,64,5000,-0.0284,-0.0448,0.6999331866,0.681194751,0.7182208182,0.6792013603,0.6525304341,0.7053091738,0.02073182637,0.001558227646,0.04015565113
uniform,1,16,768,96,4000,-0.01225,-0.006,0.7172112716,0.6957388503,0.7389254915,0.7245366029,0.6944110371,0.7546849056,-0.007325331333,-0.02904271068,0.01402250719
uniform,1,16,1024,128,3000,-0.041,-0.01133333333,0.7661840058,0.7387423794,0.7931347255,0.773317717,0.7343935145,0.8117033803,-0.007133711237,-0.03433223297,0.02106618039
uniform,1,16,1536,192,1600,-0.026875,-0.006875,0.8032422608,0.7645051595,0.8420418181,0.8196873046,0.7635738548,0.8758292292,-0.01644504378,-0.05579737336,0.02349539751
uniform,1,16,2048,256,1000,0.002,-0.033,0.8347882883,0.7833410536,0.8872496997,0.8247122122,0.7529357482,0.9002549424,0.01007607608,-0.04141111111,0.06121816817
uniform,1,16,2560,320,400,0.0525,-0.0125,0.8381390977,0.7585673559,0.9193942669,0.8550250627,0.7527647243,0.9638909774,-0.01688596491,-0.09654432957,0.06255278822
uniform,1,16,3072,384,300,-0.07,-0.05,0.9126755853,0.8075964326,1.021048356,0.8459531773,0.7209810479,0.9762486065,0.06672240803,-0.04488963211,0.1836379599
uniform,1,16,4096,512,150,-0.08,-0.04,0.9288590604,0.7802410515,1.076063199,0.8448322148,0.6644272931,1.035548098,0.08402684564,-0.06711409396,0.2380313199
uniform,1,16,5120,640,80,-0.025,-0.05,0.9477848101,0.738528481,1.155539953,0.860443038,0.6174050633,1.120174051,0.08734177215,-0.1370332278,0.3243670886
uniform,1,16,6144,768,40,-0.025,0.125,1.325,0.8496794872,1.774070513,1.296153846,0.7482772436,1.865384615,0.02884615385,-0.3461538462,0.3846153846
uniform,1,8,32,8,6000,-0.05466666667,-0.05833333333,0.4888858699,0.4770099461,0.5004471856,0.4870744569,0.4698528282,0.5040525077,0.001811413013,-0.01073236581,0.01421827249
uniform,1,8,64,16,6000,-0.05083333333,-0.048,0.5608994694,0.5473836195,0.5747158165,0.5535049036,0.5346607212,0.5727607379,0.007394565761,-0.006761710285,0.02168679155
uniform,1,8,128,32,6000,-0.0335,-0.04783333333,0.6310667056,0.615709728,0.6464902998,0.6275018614,0.604668809,0.6502947769,0.003564844141,-0.01269376841,0.0194565761
