model,fraction_num,fraction_den,component,order,separation,fit_role,observed,log_fit,log_plus_log2_fit
uniform,1,4,conditional,2048,1024,training,0.9954109109,0.9372896579,0.9469229586
uniform,1,4,conditional,2560,1280,training,0.9230545113,0.956971162,0.9608775905
uniform,1,4,conditional,3072,1536,training,1.020044593,0.9730521218,0.9702023661
uniform,1,4,conditional,4096,2048,training,0.9536689038,0.9984259938,0.9811168809
uniform,1,4,conditional,5120,2560,heldout,1.068037975,1.018107498,0.9863802587
uniform,1,4,conditional,6144,3072,heldout,0.7407051282,1.034188458,0.9886037627
uniform,1,4,disorder,512,256,training,0.003044608922,0.004802332555,-0.005756450845
uniform,1,4,disorder,768,384,training,-0.008436109027,0.004715781372,0.0056992604
uniform,1,4,disorder,1024,512,training,0.008724019117,0.004654372331,0.01044194835
uniform,1,4,disorder,1536,768,training,0.02445551907,0.004567821149,0.01235512357
uniform,1,4,disorder,2048,1024,training,-0.0178958959,0.004506412107,0.01032727446
uniform,1,4,disorder,2560,1280,training,0.03404761905,0.004458779554,0.006819214776
uniform,1,4,disorder,3072,1536,training,0.0118729097,0.004419860925,0.002697913661
uniform,1,4,disorder,4096,2048,training,-0.01932885906,0.004358451884,-0.006100472503
uniform,1,4,disorder,5120,2560,heldout,0.08227848101,0.004310819331,-0.01486016873
uniform,1,4,disorder,6144,3072,heldout,0.1282051282,0.004271900701,-0.02327236933
