model,fraction_num,fraction_den,component,order,separation,observed,log_fit,log_plus_log2_fit
uniform,1,4,conditional,128,32,9.027232755,9.219509352,8.887011416
uniform,1,4,conditional,192,48,9.537566533,9.832134065,9.822669245
uniform,1,4,conditional,256,64,10.47425367,10.26679822,10.40622737
uniform,1,4,conditional,384,96,11.06562048,10.87942293,11.11552752
uniform,1,4,conditional,512,128,11.65246415,11.31408708,11.53848232
uniform,1,4,conditional,700,175,12.42274549,11.78663546,11.92267681
uniform,1,4,conditional,900,225,11.28564329,12.16635106,12.17430881
uniform,1,4,conditional,1100,275,12.82708241,12.46954812,12.33870774
uniform,1,4,conditional,1300,325,12.36383073,12.72195322,12.45082826
uniform,1,4,disorder,128,32,-0.1192843792,-0.05285039506,0.04296206613
uniform,1,4,disorder,192,48,0.3775344904,-0.03511494881,-0.03238757021
uniform,1,4,disorder,256,64,-0.3953929684,-0.02253144945,-0.06270929506
uniform,1,4,disorder,384,96,0.1738248192,-0.004796003201,-0.07283180052
uniform,1,4,disorder,512,128,-0.1310797677,0.007787496167,-0.0568741395
uniform,1,4,disorder,700,175,-0.1302467296,0.02146774133,-0.01773387508
uniform,1,4,disorder,900,225,-0.01923847695,0.03246048384,0.03016738155
uniform,1,4,disorder,1100,275,0.01211581292,0.04123801923,0.07894092532
uniform,1,4,disorder,1300,325,0.2679732739,0.04854513069,0.1266723821
