distribution,distribution_params,variance_kind,L_left,L_right,L_mid_geometric,p_local
lognormal,"{""sigma"":1.0}",annealed,64,128,90.50966799187809,0.9325934617220983
lognormal,"{""sigma"":1.0}",annealed,128,256,181.01933598375618,0.8569805011394952
lognormal,"{""sigma"":1.0}",annealed,256,512,362.03867196751236,1.1054799613111554
lognormal,"{""sigma"":1.0}",annealed,512,1024,724.0773439350247,1.2687617110745821
lognormal,"{""sigma"":1.0}",annealed,1024,2048,1448.1546878700494,0.6825786519133277
lognormal,"{""sigma"":1.0}",annealed,2048,4096,2896.309375740099,1.4725153732846523
pareto,"{""alpha"":2.0}",annealed,16,32,22.627416997969522,1.084043697244515
pareto,"{""alpha"":2.0}",annealed,32,64,45.254833995939045,1.1765060710996385
pareto,"{""alpha"":2.0}",annealed,64,128,90.50966799187809,0.9115862926554998
pareto,"{""alpha"":2.0}",annealed,128,256,181.01933598375618,1.0610195111247855
pareto,"{""alpha"":2.0}",annealed,256,512,362.03867196751236,0.9673383565454258
pareto,"{""alpha"":2.0}",annealed,512,1024,724.0773439350247,1.0435647731193194
pareto,"{""alpha"":2.0}",annealed,1024,2048,1448.1546878700494,1.635597888431798
pareto,"{""alpha"":2.0}",annealed,2048,4096,2896.309375740099,1.3605882807862146
pareto,"{""alpha"":3.0}",annealed,16,32,22.627416997969522,1.2088959309168945
pareto,"{""alpha"":3.0}",annealed,32,64,45.254833995939045,1.0237913757766186
pareto,"{""alpha"":3.0}",annealed,64,128,90.50966799187809,0.8652505980577316
pareto,"{""alpha"":3.0}",annealed,128,256,181.01933598375618,1.2500529058463579
pareto,"{""alpha"":3.0}",annealed,256,512,362.03867196751236,1.0905888046327157
pareto,"{""alpha"":3.0}",annealed,512,1024,724.0773439350247,0.4971237757505576
pareto,"{""alpha"":3.0}",annealed,1024,2048,1448.1546878700494,0.7777924111380076
pareto,"{""alpha"":3.0}",annealed,2048,4096,2896.309375740099,1.561939948960503
triangular,"{""a"":0.8}",annealed,16,32,22.627416997969522,1.1434617161005174
triangular,"{""a"":0.8}",annealed,32,64,45.254833995939045,1.39814985556043
triangular,"{""a"":0.8}",annealed,64,128,90.50966799187809,0.49569945075763805
triangular,"{""a"":0.8}",annealed,128,256,181.01933598375618,1.3422840688508864
triangular,"{""a"":0.8}",annealed,256,512,362.03867196751236,1.016538866072392
triangular,"{""a"":0.8}",annealed,512,1024,724.0773439350247,0.7566019738708495
triangular,"{""a"":0.8}",annealed,1024,2048,1448.1546878700494,0.8074606318655008
triangular,"{""a"":0.8}",annealed,2048,4096,2896.309375740099,2.1965932979318072
uniform,"{""a"":0.7}",annealed,16,32,22.627416997969522,1.1569093366683427
uniform,"{""a"":0.7}",annealed,32,64,45.254833995939045,1.1127897688346626
uniform,"{""a"":0.7}",annealed,64,128,90.50966799187809,1.0953110613443282
uniform,"{""a"":0.7}",annealed,128,256,181.01933598375618,0.8490178250551742
uniform,"{""a"":0.7}",annealed,256,512,362.03867196751236,1.1504305236016874
uniform,"{""a"":0.7}",annealed,512,1024,724.0773439350247,1.119539877493836
uniform,"{""a"":0.7}",annealed,1024,2048,1448.1546878700494,1.8315384404097697
uniform,"{""a"":0.7}",annealed,2048,4096,2896.309375740099,0.5544709316418964
weibull,"{""shape"":0.7}",annealed,16,32,22.627416997969522,1.2010667906914463
