distribution,distribution_params,L,log_L,log_log_L,observations,environments,walks_per_environment_min,walks_per_environment_max,mean_winding,annealed_variance,annealed_variance_se,quenched_variance,quenched_variance_se,environment_mean_variance,mean_exit_x_over_L,mean_exit_y_over_L,mean_raw_walk_length,mean_loop_erased_path_length,mean_runtime
gamma,"{""shape"":0.5}",32,3.4657359027997265,1.242924991852436,5000,5000,1,1,-0.0216,2.508835207041409,0.05204245245251697,NaN,NaN,2.508835207041409,0.00614375,-0.0017875,2075.0418,100.8034,0.00024049160024151205
gamma,"{""shape"":0.5}",64,4.1588830833596715,1.4252465486463906,5000,5000,1,1,0.007,3.0487607521504296,0.06353789185147134,NaN,NaN,3.0487607521504296,-0.008484375,-0.0185875,8597.7082,239.447,0.000946833400358446
gamma,"{""shape"":0.5}",128,4.852030263919617,1.5793972284736488,5000,5000,1,1,-0.0054,3.8933495099019795,0.0794496680578425,NaN,NaN,3.89334950990198,-0.0167390625,0.0189546875,35830.2124,572.6332,0.005123648000333924
gamma,"{""shape"":0.5}",256,5.545177444479562,1.7129286210981716,5000,5000,1,1,0.0376,4.370260292058409,0.09506595079121086,NaN,NaN,4.3702602920584095,0.02224140625,0.01670390625,143029.2868,1363.2768,0.024653992000606376
gamma,"{""shape"":0.5}",512,6.238324625039508,1.830711656754555,5000,5000,1,1,0.0092,4.877290818163635,0.0978248264733396,NaN,NaN,4.877290818163636,0.013618359375,0.00398203125,600820.461,3238.371,0.29758337300001875
gamma,"{""shape"":0.5}",1024,6.931471805599453,1.9360721724123813,5000,5000,1,1,-0.0192,5.431517663532707,0.10779954316556185,NaN,NaN,5.431517663532707,0.01041328125,-0.002573046875,2.4281679396e6,7736.8428,3.954893288200104
gamma,"{""shape"":0.5}",2048,7.6246189861593985,2.0313823522167063,500,500,1,1,-0.004,5.639262525050099,0.3574056196851922,NaN,NaN,5.639262525050099,-0.0403740234375,-0.079080078125,9.908843418e6,18232.606,28.088696683999036
gamma,"{""shape"":0.5}",4096,8.317766166719343,2.118393729206336,500,500,1,1,-0.076,6.64351102204409,0.4003336515807475,NaN,NaN,6.643511022044089,0.00126513671875,-0.00194677734375,4.0313822504e7,44003.548,43.70335635199945
gamma,"{""shape"":1.0}",16,2.772588722239781,1.0197814405382262,5000,5000,1,1,0.0176,1.9636829765953168,0.04247280990463246,NaN,NaN,1.9636829765953172,-0.010125,0.00875,356.1272,41.1556,4.665279965847731e-5
gamma,"{""shape"":1.0}",32,3.4657359027997265,1.242924991852436,2000,2000,1,1,0.0235,2.4101528264132064,0.07914875956052622,NaN,NaN,2.410152826413206,0.01546875,0.0148125,1472.038,100.315,0.00017337399994721636
gamma,"{""shape"":1.0}",64,4.1588830833596715,1.4252465486463906,2000,2000,1,1,-0.038,3.09710455227614,0.10005457951588918,NaN,NaN,3.0971045522761402,0.0167578125,0.00078125,5864.1765,238.5755,0.000728898499859497
gamma,"{""shape"":1.0}",128,4.852030263919617,1.5793972284736488,2000,2000,1,1,0.033,3.7357788894447217,0.12141116502062411,NaN,NaN,3.7357788894447213,-0.007890625,-0.015125,23922.048,559.63,0.00499039149977034
gamma,"{""shape"":1.0}",256,5.545177444479562,1.7129286210981716,2000,2000,1,1,0.0415,4.112834167083541,0.1314844640947049,NaN,NaN,4.112834167083542,-0.00464453125,0.002060546875,98454.6755,1334.7955,0.026464716999325903
gamma,"{""shape"":1.0}",512,6.238324625039508,1.830711656754555,2000,2000,1,1,0.018,4.637994997498743,0.15550651234608864,NaN,NaN,4.637994997498741,0.00240234375,-0.01579296875,389039.398,3187.676,0.1992297550002986
gamma,"{""shape"":1.0}",1024,6.931471805599453,1.9360721724123813,2000,2000,1,1,-0.0345,5.215917708854427,0.1669474968782017,NaN,NaN,5.215917708854427,-0.0201611328125,0.00690673828125,1.6010975055e6,7618.8585,1.157058616000053
gamma,"{""shape"":1.0}",2048,7.6246189861593985,2.0313823522167063,500,500,1,1,0.072,6.074965931863728,0.35346297113622593,NaN,NaN,6.074965931863726,-0.0332568359375,0.0075615234375,6.101489552e6,17632.988,37.60324703600025
