campaign_id,L,environment_id,environment_seed,conditional_mean,conditional_variance,conditional_second_moment,log_partition,partition_phase_real,partition_phase_imaginary,matrix_order,precision_bits,crossed_edges,relative_solve_residual,maximum_probability_imaginary_residual,maximum_covariance_imaginary_residual,elapsed_seconds
glauber_square_grid_kasteleyn__gamma__p_0p5,8,125,15815638766645921830,1.8419160494324514,4.045262533131828,7.437917266288676,22.342149849810543,1.0,-0.0,128,53,8,6.540207879277548e-15,0.0,0.0,0.000287916
glauber_square_grid_kasteleyn__gamma__p_0p5,8,126,3163876124919971961,-0.14180406252290556,0.5620893932727686,0.5821977854207687,19.590271427467307,1.0,-0.0,128,53,8,3.5030038648687935e-15,0.0,0.0,0.000305666
glauber_square_grid_kasteleyn__gamma__p_0p5,8,127,13822275952586322079,0.01021211276008314,0.05432625174002335,0.054430538987048,33.41397147791653,1.0,-0.0,128,53,8,7.177805399859993e-15,0.0,0.0,0.000300792
glauber_square_grid_kasteleyn__gamma__p_0p5,8,128,9483423171124783293,0.001930502078871743,0.02311442724086466,0.02311815407914119,33.03023182533766,1.0,-0.0,128,53,8,2.8250442866723065e-15,0.0,0.0,0.000286458
glauber_square_grid_kasteleyn__gamma__p_0p5,8,129,4698078063115107533,0.1914407985782829,0.7760486100639827,0.8126981894242734,8.128029349459942,1.0,-0.0,128,53,8,5.5651425469522555e-15,0.0,0.0,0.000290375
glauber_square_grid_kasteleyn__gamma__p_0p5,8,130,15672667540725897087,-1.799591624866998,4.001091410852363,7.239621427143806,29.2503590883778,1.0,0.0,128,53,8,3.273929878409115e-15,0.0,0.0,0.000286792
glauber_square_grid_kasteleyn__gamma__p_0p5,8,131,17913525516213929239,0.0916275580149332,0.3582574759415106,0.36665308532929053,27.502434054302647,1.0,0.0,128,53,8,3.8301274427493675e-15,0.0,0.0,0.00028675
glauber_square_grid_kasteleyn__gamma__p_0p5,8,132,9585290872017901281,0.20054647529045477,1.0471775921786564,1.0873964809300813,12.12244289090014,1.0,0.0,128,53,8,3.271397969919768e-14,0.0,0.0,0.000281791
glauber_square_grid_kasteleyn__gamma__p_0p5,8,133,3385207500636872330,0.3871357015346575,1.4094591273479784,1.5593331787507099,15.265013539074292,1.0,0.0,128,53,8,3.625641834715694e-15,0.0,0.0,0.000284875
glauber_square_grid_kasteleyn__gamma__p_0p5,8,134,16013457944729456289,-0.027620768421709452,0.11562321333153432,0.11638612017974002,31.991582090071642,1.0,-0.0,128,53,8,1.447211799109148e-15,0.0,0.0,0.000287125
glauber_square_grid_kasteleyn__gamma__p_0p5,8,135,700148315315185084,0.7229271615653227,2.580309839725322,3.102933520654216,29.761575495509955,1.0,-0.0,128,53,8,2.2319028144021867e-15,0.0,0.0,0.00029
glauber_square_grid_kasteleyn__gamma__p_0p5,8,136,10050699198541808399,0.0001930597207680672,0.0027746823633478758,0.0027747196354036587,1.6798055812571402,1.0,0.0,128,53,8,1.440194319209521e-15,0.0,0.0,0.00028875
glauber_square_grid_kasteleyn__gamma__p_0p5,8,137,548689106618341948,-0.13986351987013446,0.6758388028820286,0.6954006070724921,20.9869809621111,1.0,-0.0,128,53,8,7.568104047994499e-16,0.0,0.0,0.000290542
