L,model,k,sample_index,seed,raw_steps,lerw_steps,winding,hit_x,hit_y,environment_sites
32,symmetric,,72,6890801083762403383,451,83,-2,32,3,0
32,symmetric,,73,6826115470757627071,544,110,0,4,-32,0
32,symmetric,,74,7388422817355473431,1490,184,-4,-32,0,0
32,symmetric,,75,1852279249224780157,263,51,0,5,32,0
32,symmetric,,76,6441368652865918921,2081,265,-2,32,1,0
32,symmetric,,77,3013162238727666448,2367,87,-2,32,-7,0
32,symmetric,,78,4904934113787802948,4099,53,0,9,32,0
32,symmetric,,79,1464551998275044986,2241,97,1,1,-32,0
32,symmetric,,80,5241481416464800325,158,62,0,32,-8,0
32,symmetric,,81,1547318355183206805,418,104,1,-18,-32,0
32,symmetric,,82,2820986382334946328,1641,83,-1,3,32,0
32,symmetric,,83,8671888554075017623,324,88,1,-32,14,0
32,symmetric,,84,2866741457375821203,498,76,1,-32,12,0
32,symmetric,,85,8208238706687736033,610,86,-1,-32,-4,0
32,symmetric,,86,7006313843717665250,886,76,-1,-32,-12,0
32,symmetric,,87,7213648821553981164,1580,104,0,-16,-32,0
32,symmetric,,88,2216638916419011628,903,75,-1,32,7,0
32,symmetric,,89,5197599455536658817,2226,106,0,2,32,0
32,symmetric,,90,5975012997361071057,3562,96,3,-8,-32,0
32,symmetric,,91,6731892815331851989,736,122,5,32,-4,0
32,symmetric,,92,1546455996524583035,878,126,-4,-8,32,0
32,symmetric,,93,5237930187877245663,255,57,-1,-32,7,0
32,symmetric,,94,8445945992904069756,867,125,0,32,15,0
32,symmetric,,95,3973104221539852113,1397,73,1,-32,13,0
32,symmetric,,96,7718942728739255276,1240,98,-1,32,10,0
32,symmetric,,97,945219178999451034,1180,164,-1,4,32,0
32,symmetric,,98,4700288991520647289,1099,151,1,-13,-32,0
32,symmetric,,99,283392974427518195,1751,135,-1,32,-13,0
64,symmetric,,0,3451965734756988325,1970,178,0,-64,-30,0
64,symmetric,,1,1393674251716667880,768,152,0,64,-6,0
64,symmetric,,2,487668395462743303,1119,223,1,7,-64,0
64,symmetric,,3,9188722238893889124,2178,234,1,-64,0,0
64,symmetric,,4,417552647082923162,1737,169,0,-64,17,0
64,symmetric,,5,1154720233008973965,5352,218,-1,-44,64,0
64,symmetric,,6,1420378352008236235,2137,227,3,64,1,0
64,symmetric,,7,352812220733615718,5890,212,-1,-64,6,0
64,symmetric,,8,3148583956557093547,2642,234,-1,-28,-64,0
64,symmetric,,9,407656092121054862,5083,213,0,-64,19,0
64,symmetric,,10,8161415102177471764,3386,162,1,64,54,0
64,symmetric,,11,3525955700766108795,932,168,1,-8,64,0
64,symmetric,,12,6314752726909388963,2948,172,1,-64,-18,0
64,symmetric,,13,1348001434743525744,2719,249,2,-5,-64,0
64,symmetric,,14,3161678344995894249,1971,227,0,-64,41,0
64,symmetric,,15,4438282285123466397,5576,226,-3,64,34,0
64,symmetric,,16,733779482488400737,2940,206,1,-16,64,0
64,symmetric,,17,7655933376003312266,3293,169,0,-1,-64,0
64,symmetric,,18,829427643972756675,9499,221,-2,64,1,0
64,symmetric,,19,121862341021582362,4886,254,2,-30,64,0
64,symmetric,,20,7484786008513164513,4147,205,-1,13,64,0
64,symmetric,,21,532631724223307594,2365,187,3,-19,-64,0
64,symmetric,,22,3507595556320748814,3099,189,1,-64,47,0
64,symmetric,,23,8331245781827504022,3496,170,0,-64,6,0
64,symmetric,,24,2157115384189318429,1748,190,-1,-50,64,0
64,symmetric,,25,610951139734861591,5050,158,-2,-64,-12,0
64,symmetric,,26,5560090317004474625,7287,157,1,64,11,0
64,symmetric,,27,341634602594100215,1542,182,-3,40,-64,0
64,symmetric,,28,5093817965319504356,7960,346,-3,64,-38,0
64,symmetric,,29,3573988352454985763,5465,423,-2,-64,-47,0
64,symmetric,,30,2031065341924983952,4607,359,2,64,-19,0
64,symmetric,,31,7062161530873468673,5455,275,2,64,-15,0
64,symmetric,,32,3479880532149759197,2452,230,0,64,-32,0
64,symmetric,,33,6292659547218786231,4772,210,2,-64,40,0
64,symmetric,,34,1820734154759518770,5921,153,2,-64,11,0
64,symmetric,,35,5823081783530595844,1382,240,0,6,-64,0
64,symmetric,,36,1651474198193760721,5121,245,1,64,-1,0
64,symmetric,,37,6850060654573278910,2258,270,1,10,-64,0
64,symmetric,,38,2534801604333271369,5242,234,4,30,-64,0
64,symmetric,,39,3091131953630512899,9488,196,-3,40,-64,0
64,symmetric,,40,5302230920641991461,4306,342,2,-54,-64,0
64,symmetric,,41,2583062916903658652,5287,289,-2,64,53,0
64,symmetric,,42,6730532563923950164,11265,269,1,64,-25,0
64,symmetric,,43,8784629539903288326,2117,175,-1,-64,-5,0
64,symmetric,,44,7189584690582500390,4062,214,-3,-64,-46,0
64,symmetric,,45,7591456385235891834,1900,248,1,14,64,0
64,symmetric,,46,6389977332771100522,5635,501,-3,64,5,0
64,symmetric,,47,6601479147452271441,6802,204,0,-64,42,0
64,symmetric,,48,3972100052442384016,5765,231,-1,47,-64,0
64,symmetric,,49,8253801762075220861,6958,394,-1,64,-20,0
64,symmetric,,50,6824338651675898667,4884,228,2,24,-64,0
64,symmetric,,51,7301970887199099862,3029,143,-1,-3,-64,0
64,symmetric,,52,8971930919742142945,1861,149,0,15,-64,0
64,symmetric,,53,6956963868416049317,4490,376,-4,12,-64,0
64,symmetric,,54,540838238436717983,3201,213,-2,64,19,0
64,symmetric,,55,5344037471438813550,2607,263,0,-3,-64,0
64,symmetric,,56,4988878303000043538,1817,287,-2,37,64,0
64,symmetric,,57,4240220548604951825,8624,442,3,-64,-18,0
64,symmetric,,58,2733523013203510007,5195,283,1,-11,64,0
64,symmetric,,59,1266739023310058345,2760,146,1,64,-12,0
64,symmetric,,60,7488724431204221204,1929,163,-1,-64,21,0
64,symmetric,,61,2515936191198664501,1950,258,-1,-16,-64,0
64,symmetric,,62,6793546297220204711,2469,309,-2,41,64,0
64,symmetric,,63,2624305963536918424,2533,287,0,-37,-64,0
64,symmetric,,64,443126486865204951,2456,142,1,-6,-64,0
64,symmetric,,65,8730992173540452663,1311,223,1,64,-27,0
64,symmetric,,66,2682333719357653831,4940,252,1,-20,-64,0
64,symmetric,,67,6764992654988300640,2876,244,1,-64,-52,0
64,symmetric,,68,5133393276429944478,5469,229,1,55,64,0
64,symmetric,,69,6881183928690009407,19030,330,-1,-10,-64,0
64,symmetric,,70,7005502346057657154,2472,180,-2,-64,-14,0
64,symmetric,,71,3741222366972380830,7514,380,-2,64,-26,0
64,symmetric,,72,6445287008664201582,8641,181,0,43,-64,0
64,symmetric,,73,1631132734547820467,1703,275,-1,64,31,0
64,symmetric,,74,132590972674372248,4883,247,2,64,-49,0
64,symmetric,,75,274262471231862759,4111,231,-2,64,-39,0
64,symmetric,,76,7370536334525773923,2718,280,3,-64,20,0
64,symmetric,,77,4051997488585841921,5706,254,3,28,64,0
64,symmetric,,78,1395899039980884037,6566,188,-1,38,64,0
64,symmetric,,79,2910742813620360780,8671,191,-3,-64,15,0
64,symmetric,,80,8914378594978494456,5647,199,1,64,-37,0
64,symmetric,,81,683070800666890746,4385,253,1,-29,-64,0
64,symmetric,,82,2039653239979453043,2357,283,0,-27,64,0
64,symmetric,,83,4892371759016698734,2867,185,-2,-64,7,0
64,symmetric,,84,2315381133307389958,13541,323,-3,64,-3,0
64,symmetric,,85,2722065950040651088,3624,188,-1,-8,64,0
64,symmetric,,86,5459996673273702692,2913,209,0,-64,1,0
64,symmetric,,87,5722132609033777807,5904,302,-2,-32,64,0
64,symmetric,,88,3515055200288667725,9821,263,0,-31,64,0
64,symmetric,,89,5937211668046444697,2658,334,-4,64,16,0
64,symmetric,,90,5121136366307690245,5344,212,-2,20,-64,0
64,symmetric,,91,352439402073667520,8533,197,-3,3,64,0
64,symmetric,,92,3503463133638537786,6247,241,0,-11,-64,0
64,symmetric,,93,2903436555524919333,6975,525,4,-64,43,0
64,symmetric,,94,2481853630969349168,5906,222,0,-64,-24,0
64,symmetric,,95,1087502982803149846,2091,155,0,-5,-64,0
64,symmetric,,96,5533570192322506165,2705,187,-3,64,15,0
64,symmetric,,97,4661796542397171474,6171,231,0,25,-64,0
64,symmetric,,98,2671683087556828425,9127,157,0,-5,-64,0
64,symmetric,,99,248073411211240184,1783,175,2,-5,-64,0
