L,model,k,sample_index,seed,raw_steps,lerw_steps,winding,hit_x,hit_y,environment_sites
64,gamma4,1.0,5,1154720233008973965,4863,151,-1,-64,-29,1106
64,gamma4,1.0,6,1420378352008236235,3181,349,1,64,45,935
64,gamma4,1.0,7,352812220733615718,1756,132,2,6,-64,470
64,gamma4,1.0,8,3148583956557093547,14410,184,-2,-64,22,3422
64,gamma4,1.0,9,407656092121054862,13128,338,2,64,50,2901
64,gamma4,1.0,10,8161415102177471764,10615,233,3,13,64,1594
64,gamma4,1.0,11,3525955700766108795,6686,392,0,64,-36,1599
64,gamma4,1.0,12,6314752726909388963,2477,139,1,5,64,640
64,gamma4,1.0,13,1348001434743525744,3813,321,-3,-29,64,997
64,gamma4,1.0,14,3161678344995894249,3704,208,-1,64,-18,851
64,gamma4,1.0,15,4438282285123466397,7256,200,-1,-6,64,1744
64,gamma4,1.0,16,733779482488400737,4663,285,0,-1,64,1158
64,gamma4,1.0,17,7655933376003312266,9005,257,-1,-27,-64,1759
64,gamma4,1.0,18,829427643972756675,5197,197,-1,13,-64,1163
64,gamma4,1.0,19,121862341021582362,5797,209,1,64,37,1403
64,gamma4,1.0,20,7484786008513164513,3425,219,1,64,5,968
64,gamma4,1.0,21,532631724223307594,8558,262,-1,-30,64,1992
64,gamma4,1.0,22,3507595556320748814,1954,202,-1,-64,-56,547
64,gamma4,1.0,23,8331245781827504022,7316,260,0,-64,-14,1524
64,gamma4,1.0,24,2157115384189318429,5825,177,-3,7,64,1268
64,gamma4,1.0,25,610951139734861591,8801,281,-2,45,64,1839
64,gamma4,1.0,26,5560090317004474625,2357,199,-1,64,23,719
64,gamma4,1.0,27,341634602594100215,8976,218,0,8,-64,1855
64,gamma4,1.0,28,5093817965319504356,9306,260,-4,-64,-46,1977
64,gamma4,1.0,29,3573988352454985763,4746,276,-1,-50,-64,961
64,gamma4,1.0,30,2031065341924983952,2867,317,-1,-64,57,925
64,gamma4,1.0,31,7062161530873468673,8679,287,-2,-29,-64,2208
64,gamma4,1.0,32,3479880532149759197,2213,123,0,1,-64,606
64,gamma4,1.0,33,6292659547218786231,5716,230,1,-64,22,1116
64,gamma4,1.0,34,1820734154759518770,13722,196,0,64,4,2199
64,gamma4,1.0,35,5823081783530595844,1882,168,1,-64,10,544
64,gamma4,1.0,36,1651474198193760721,7101,203,0,-13,-64,1400
64,gamma4,1.0,37,6850060654573278910,2462,164,2,64,8,787
64,gamma4,1.0,38,2534801604333271369,3799,285,2,64,-37,901
64,gamma4,1.0,39,3091131953630512899,9157,257,0,33,64,1751
64,gamma4,1.0,40,5302230920641991461,6489,315,0,-64,-17,1487
64,gamma4,1.0,41,2583062916903658652,4968,184,0,28,-64,1229
64,gamma4,1.0,42,6730532563923950164,2160,158,0,-30,-64,550
64,gamma4,1.0,43,8784629539903288326,6094,196,-1,-6,64,1283
64,gamma4,1.0,44,7189584690582500390,13138,240,-1,32,-64,2279
64,gamma4,1.0,45,7591456385235891834,3034,190,2,64,-10,797
64,gamma4,1.0,46,6389977332771100522,2594,216,-1,-64,-26,606
64,gamma4,1.0,47,6601479147452271441,6690,336,0,34,64,1428
64,gamma4,1.0,48,3972100052442384016,6432,236,1,-64,24,1395
64,gamma4,1.0,49,8253801762075220861,6194,142,-1,22,64,1249
64,gamma4,1.0,50,6824338651675898667,2111,173,0,64,11,585
64,gamma4,1.0,51,7301970887199099862,1519,183,1,64,-37,506
64,gamma4,1.0,52,8971930919742142945,1919,307,0,64,-5,639
64,gamma4,1.0,53,6956963868416049317,1497,135,1,-64,-21,486
64,gamma4,1.0,54,540838238436717983,3041,159,2,64,-7,700
64,gamma4,1.0,55,5344037471438813550,1302,164,3,-30,-64,407
64,gamma4,1.0,56,4988878303000043538,6896,170,1,-64,14,1266
64,gamma4,1.0,57,4240220548604951825,2743,231,-1,-64,-17,769
64,gamma4,1.0,58,2733523013203510007,10207,251,1,64,31,1960
64,gamma4,1.0,59,1266739023310058345,3473,225,-3,-64,-37,710
64,gamma4,1.0,60,7488724431204221204,8203,247,-3,-64,-21,1478
64,gamma4,1.0,61,2515936191198664501,5153,177,1,-64,-21,1486
64,gamma4,1.0,62,6793546297220204711,3666,350,1,-64,46,1008
64,gamma4,1.0,63,2624305963536918424,4290,182,1,30,-64,768
64,gamma4,1.0,64,443126486865204951,5184,234,1,64,-52,1292
64,gamma4,1.0,65,8730992173540452663,6026,150,-1,18,-64,1079
64,gamma4,1.0,66,2682333719357653831,8217,333,1,37,64,1529
64,gamma4,1.0,67,6764992654988300640,5891,181,0,9,-64,964
64,gamma4,1.0,68,5133393276429944478,8652,152,0,-2,-64,1233
64,gamma4,1.0,69,6881183928690009407,2017,191,0,-64,-19,599
64,gamma4,1.0,70,7005502346057657154,11134,230,2,-26,-64,1871
64,gamma4,1.0,71,3741222366972380830,6549,213,-3,-64,-41,1089
64,gamma4,1.0,72,6445287008664201582,8969,483,-3,64,-25,2198
64,gamma4,1.0,73,1631132734547820467,2166,144,0,64,4,553
64,gamma4,1.0,74,132590972674372248,6078,220,1,20,64,1379
64,gamma4,1.0,75,274262471231862759,9717,625,-2,-64,19,2342
64,gamma4,1.0,76,7370536334525773923,1653,227,1,-45,-64,629
64,gamma4,1.0,77,4051997488585841921,5907,201,0,27,64,1356
64,gamma4,1.0,78,1395899039980884037,4647,277,1,-64,-5,1248
64,gamma4,1.0,79,2910742813620360780,8783,239,0,29,64,1244
64,gamma4,1.0,80,8914378594978494456,3461,221,0,64,25,744
64,gamma4,1.0,81,683070800666890746,3524,262,-2,24,-64,1012
64,gamma4,1.0,82,2039653239979453043,2124,208,1,30,64,673
64,gamma4,1.0,83,4892371759016698734,2347,247,1,13,64,709
64,gamma4,1.0,84,2315381133307389958,2801,235,-1,-64,43,716
64,gamma4,1.0,85,2722065950040651088,10728,262,-1,64,-62,1563
64,gamma4,1.0,86,5459996673273702692,3477,199,2,-64,-29,967
64,gamma4,1.0,87,5722132609033777807,6720,236,1,-64,-40,1593
64,gamma4,1.0,88,3515055200288667725,4154,442,4,-64,-8,1195
64,gamma4,1.0,89,5937211668046444697,3084,192,-2,6,-64,761
64,gamma4,1.0,90,5121136366307690245,7189,423,-3,25,-64,1662
64,gamma4,1.0,91,352439402073667520,4194,424,-1,-36,64,1256
64,gamma4,1.0,92,3503463133638537786,3097,309,1,41,-64,895
64,gamma4,1.0,93,2903436555524919333,3190,148,0,14,64,621
64,gamma4,1.0,94,2481853630969349168,2848,144,1,34,-64,634
64,gamma4,1.0,95,1087502982803149846,782,184,-1,12,-64,327
64,gamma4,1.0,96,5533570192322506165,5618,346,-1,64,4,1459
64,gamma4,1.0,97,4661796542397171474,7361,417,-3,-7,64,1432
64,gamma4,1.0,98,2671683087556828425,1369,161,0,27,64,423
64,gamma4,1.0,99,248073411211240184,2037,253,1,-64,-25,652
