L,model,k,sample_index,seed,raw_steps,lerw_steps,winding,hit_x,hit_y,environment_sites
32,gamma,1.0,60,7585048156350408072,203,67,-2,1,32,115
32,gamma,1.0,61,7479489120544660188,694,92,-1,32,18,260
32,gamma,1.0,62,3133494906881959715,507,95,-2,29,32,206
32,gamma,1.0,63,50754972824659393,627,101,1,21,32,240
32,gamma,1.0,64,1589051991759639827,377,83,-2,-1,32,165
32,gamma,1.0,65,110003790145534557,280,80,2,32,-12,131
32,gamma,1.0,66,4147259651285071498,460,78,1,32,-10,180
32,gamma,1.0,67,6826549035287246001,501,105,1,32,17,218
32,gamma,1.0,68,8179161349447876469,801,127,0,23,32,285
32,gamma,1.0,69,3277618375627909656,248,92,-2,8,32,134
32,gamma,1.0,70,1976745979527977944,277,71,0,32,19,114
32,gamma,1.0,71,2625949222159907413,512,72,1,24,32,168
32,gamma,1.0,72,6890801083762403383,178,70,1,32,16,103
32,gamma,1.0,73,6826115470757627071,219,73,2,32,1,119
32,gamma,1.0,74,7388422817355473431,823,69,0,5,32,284
32,gamma,1.0,75,1852279249224780157,314,62,-1,14,32,128
32,gamma,1.0,76,6441368652865918921,622,102,4,28,32,205
32,gamma,1.0,77,3013162238727666448,517,69,1,19,32,197
32,gamma,1.0,78,4904934113787802948,637,61,0,9,32,157
32,gamma,1.0,79,1464551998275044986,795,71,-2,32,11,256
32,gamma,1.0,80,5241481416464800325,577,97,-1,32,-1,221
32,gamma,1.0,81,1547318355183206805,1350,116,1,32,30,386
32,gamma,1.0,82,2820986382334946328,481,95,-2,32,27,200
32,gamma,1.0,83,8671888554075017623,665,95,1,21,32,265
32,gamma,1.0,84,2866741457375821203,566,104,0,32,14,213
32,gamma,1.0,85,8208238706687736033,670,80,-1,2,32,188
32,gamma,1.0,86,7006313843717665250,395,79,-1,32,1,180
32,gamma,1.0,87,7213648821553981164,510,90,2,32,18,216
32,gamma,1.0,88,2216638916419011628,804,102,0,22,32,321
32,gamma,1.0,89,5197599455536658817,184,66,2,-4,32,108
32,gamma,1.0,90,5975012997361071057,639,77,1,32,13,235
32,gamma,1.0,91,6731892815331851989,365,81,0,23,32,171
32,gamma,1.0,92,1546455996524583035,290,72,0,32,22,136
32,gamma,1.0,93,5237930187877245663,367,119,-1,7,32,187
32,gamma,1.0,94,8445945992904069756,399,73,-2,1,32,179
32,gamma,1.0,95,3973104221539852113,322,86,0,32,6,155
32,gamma,1.0,96,7718942728739255276,373,93,2,17,32,172
32,gamma,1.0,97,945219178999451034,410,62,-1,2,32,161
32,gamma,1.0,98,4700288991520647289,407,95,-2,32,11,167
32,gamma,1.0,99,283392974427518195,650,66,0,32,18,260
64,gamma,1.0,0,3451965734756988325,1743,245,3,53,64,607
64,gamma,1.0,1,1393674251716667880,882,178,0,64,58,365
64,gamma,1.0,2,487668395462743303,968,208,1,28,64,462
64,gamma,1.0,3,9188722238893889124,1175,245,3,23,64,520
64,gamma,1.0,4,417552647082923162,1586,258,0,64,44,663
64,gamma,1.0,5,1154720233008973965,942,128,-1,38,64,378
64,gamma,1.0,6,1420378352008236235,958,222,0,64,52,439
64,gamma,1.0,7,352812220733615718,606,162,-3,64,38,305
64,gamma,1.0,8,3148583956557093547,1465,205,-1,39,64,567
64,gamma,1.0,9,407656092121054862,2067,225,2,33,64,621
64,gamma,1.0,10,8161415102177471764,1005,187,-1,64,63,409
64,gamma,1.0,11,3525955700766108795,737,137,1,33,64,319
64,gamma,1.0,12,6314752726909388963,994,194,-1,42,64,433
64,gamma,1.0,13,1348001434743525744,1456,184,0,64,34,575
64,gamma,1.0,14,3161678344995894249,961,173,0,17,64,358
64,gamma,1.0,15,4438282285123466397,1188,282,3,50,64,526
64,gamma,1.0,16,733779482488400737,1054,176,0,64,50,430
64,gamma,1.0,17,7655933376003312266,1414,266,0,64,46,595
64,gamma,1.0,18,829427643972756675,949,197,1,64,53,417
64,gamma,1.0,19,121862341021582362,871,183,1,51,64,382
64,gamma,1.0,20,7484786008513164513,1194,168,0,30,64,446
