model,filter,cutoff,sizes,component,method,log_intercept,log_slope,quadratic_intercept,quadratic_log_slope,log2_coefficient,coefficient_low,coefficient_high,coefficient_positive_fraction,delta_bic,delta_bic_low,delta_bic_high,quadratic_bic_win_fraction,log_loocv_rmse,quadratic_loocv_rmse
control,all,4,4;6;8;10;12;16,conditional,unweighted,0.03819246858448524,1.2159159602641645,-0.4281620333742601,1.6891804217924873,-0.11418425721685801,-0.18264223797401832,-0.04384831181068907,0.0006,3.4847467744058136,-0.6489922772813642,9.749588240171834,0.9376,0.05373781146314765,0.056717840443908873
control,all,4,4;6;8;10;12;16,conditional,inverse_bootstrap_variance,-0.01154749285040871,1.2422806125354267,-0.30257123168488853,1.5518754496103027,-0.07846390097234221,-0.14419200342309635,-0.013593680061311115,0.0072,1.2690263177371932,-1.6847479781957295,7.895018606448625,0.6656,0.04588881262834384,0.05067135664249544
control,all,4,4;6;8;10;12;16,disorder,unweighted,0.0007963503012632519,-0.0004953947618819735,-0.004130281643641296,0.004504234929180272,-0.001206257915056079,-0.0028797432392256347,0.0004914726041551188,0.0936,-0.1321754836268667,-1.782173785674599,3.396901766582653,0.4248,0.0007882294745456102,0.0014312553374365993
control,all,4,4;6;8;10;12;16,disorder,inverse_bootstrap_variance,0.00018725547387489066,-0.00016411654436007138,0.0017418370762648293,-0.001926291545943461,0.00047382013382002425,-0.0006273174643873354,0.001600694880541074,0.8064,-1.3505397053115047,-1.7909702889980266,3.210569126642833,0.1774,0.0006693323298828608,0.0012873504121538471
control,all,4,4;6;8;10;12;16,total,unweighted,0.03898881888574948,1.2154205655022825,-0.43229231501789245,1.6936846567216597,-0.11539051513191222,-0.1837327119327379,-0.0450122416970864,0.0006,3.4384075338839253,-0.6282716616782199,9.62886305645729,0.9386,0.054406697460963084,0.05805045027812712
control,all,4,4;6;8;10;12;16,total,inverse_bootstrap_variance,-0.011255358378389688,1.2420456986356254,-0.3035485320237533,1.5529825348051653,-0.07880290613452914,-0.14423987615740633,-0.014062487728450139,0.0072,1.2217009103850884,-1.6773974756850671,7.785080281870687,0.6624,0.0464335380986017,0.05184184093229852
control,all,6,6;8;10;12;16,conditional,unweighted,0.12843731716509385,1.1784931689986158,-0.8469757721819884,2.0530313793384316,-0.19177289963880123,-0.33732383894062723,-0.04217507332327561,0.0048,2.2923616767039263,-1.255520024902916,8.841590408078599,0.8456,0.0538639046899593,0.09364139568602355
control,all,6,6;8;10;12;16,conditional,inverse_bootstrap_variance,0.059772949104242384,1.2111850296519517,-0.5818598002580232,1.8003010079016046,-0.13285609079094507,-0.27007199051406744,0.006702357432366011,0.0318,0.23938886643323087,-1.5939048800239828,6.896160183024027,0.5042,0.04802020930587809,0.09210991287209512
control,all,6,6;8;10;12;16,disorder,unweighted,0.001200772624592927,-0.0006631008684036787,-0.018064521015819065,0.016609822374029703,-0.0037876887896673836,-0.007297299201036309,-0.0001246831611516905,0.0186,2.692633241985945,-1.5108931066330415,11.98284009200054,0.8186,0.0010650670606436375,0.001259452521600968
control,all,6,6;8;10;12;16,disorder,inverse_bootstrap_variance,-0.000999338825323455,0.0003885963810224851,-0.012770868383731293,0.011570206093334628,-0.0026010622089996205,-0.005591105342191938,0.0004201233209856784,0.0442,0.8083492692789349,-1.5941235581619524,10.629120431272826,0.5716,0.0009336678858452393,0.001059187127380434
