model,fraction_num,fraction_den,order,separation,n,mean_1,mean_2,marginal,marginal_low,marginal_high,conditional,conditional_low,conditional_high,disorder,disorder_low,disorder_high
uniform,1,8,3072,768,300,0.02333333333,-0.04666666667,0.920039019,0.8157798216,1.020414298,0.8721237458,0.7359197324,1.01235786,0.04791527313,-0.05235284281,0.1489648829
uniform,1,8,4096,1024,150,-0.18,-0.12,0.9529530201,0.8096817673,1.090494407,0.880738255,0.6868903803,1.083691275,0.0722147651,-0.07785234899,0.2221040268
uniform,1,8,5120,1280,80,-0.2125,0.1,1.003718354,0.7727056962,1.225245253,1.058148734,0.7566455696,1.370174051,-0.05443037975,-0.2504786392,0.1449406646
uniform,1,8,6144,1536,40,-0.25,0.175,0.9650641026,0.7163461538,1.184326923,0.8945512821,0.5995592949,1.163782051,0.07051282051,-0.1634615385,0.3090064103
uniform,1,4,32,16,6000,-0.1133333333,-0.1256666667,0.5436056565,0.530779848,0.556218468,0.5525160304,0.533671398,0.571573283,-0.008910373951,-0.02279081097,0.004742502917
uniform,1,4,64,32,6000,-0.1071666667,-0.09783333333,0.6157412624,0.6010129567,0.6301621892,0.6163925099,0.5942979024,0.6377262822,-0.0006512474301,-0.01616086014,0.01480781589
uniform,1,4,128,64,6000,-0.0905,-0.1001666667,0.6888363338,0.6717377556,0.7061056054,0.7027370673,0.6775219203,0.7280288704,-0.01390073346,-0.03137252875,0.003735314219
uniform,1,4,256,128,6000,-0.1105,-0.096,0.763164069,0.7440169764,0.7821650928,0.7662725871,0.7395187531,0.7929708844,-0.003108518086,-0.02238576846,0.01609327596
uniform,1,4,512,256,5000,-0.0796,-0.11,0.8127444689,0.7899569889,0.8351336987,0.80969986,0.7777986957,0.8419699485,0.003044608922,-0.02022154831,0.02588610322
uniform,1,4,768,384,4000,-0.102,-0.117,0.8346621655,0.808814953,0.8603815735,0.8430982746,0.8067510596,0.8789614568,-0.008436109027,-0.03476363153,0.01740702519
uniform,1,4,1024,512,3000,-0.1283333333,-0.1086666667,0.8829887185,0.8511302254,0.9141753015,0.8742646993,0.8304522994,0.9190921516,0.008724019117,-0.02322661165,0.04135438479
uniform,1,4,1536,768,1600,-0.093125,-0.073125,0.9248182458,0.8778952812,0.9709521234,0.9003627267,0.8370755159,0.9648275436,0.02445551907,-0.02157662015,0.07023927064
uniform,1,4,2048,1024,1000,-0.098,-0.111,0.977515015,0.9186179179,1.034123423,0.9954109109,0.9143289289,1.077566629,-0.0178958959,-0.07687237237,0.04061839339
uniform,1,4,2560,1280,400,-0.045,0.0325,0.9571021303,0.8667007362,1.047516839,0.9230545113,0.8023490758,1.046627271,0.03404761905,-0.06038878446,0.128891604
uniform,1,4,3072,1536,300,-0.1833333333,-0.19,1.031917503,0.9118756968,1.15142879,1.020044593,0.8635986622,1.1846767,0.0118729097,-0.1025685619,0.1274503902
uniform,1,4,4096,2048,150,-0.18,-0.1066666667,0.9343400447,0.7849211409,1.080493289,0.9536689038,0.768246085,1.14541387,-0.01932885906,-0.1465771812,0.1111409396
uniform,1,4,5120,2560,80,-0.125,-0.25,1.150316456,0.8825098892,1.412264636,1.068037975,0.7132120253,1.477151899,0.08227848101,-0.1746914557,0.3037974684
uniform,1,4,6144,3072,40,-0.175,0,0.8689102564,0.6102564103,1.094230769,0.7407051282,0.4355528846,1.051282051,0.1282051282,-0.1064102564,0.3487339744
